Cat1,Cat2,Cat3,documents
health personal care,nutrition wellness,vitamins supplements,1951
health personal care,personal care,shaving hair removal,1836
beauty,hair care,styling tools,1051
toys games,games,board games,1041
beauty,fragrance,women s,1000
beauty,skin care,face,782
health personal care,personal care,oral hygiene,759
health personal care,nutrition wellness,nutrition bars drinks,744
toys games,action toy figures,figures,729
pet supplies,dogs,toys,685
toys games,dolls accessories,dolls,682
toys games,stuffed animals plush,animals figures,634
baby products,diapering,disposable diapers,630
toys games,dress up pretend play,pretend play,619
grocery gourmet food,beverages,tea,599
beauty,fragrance,men s,565
health personal care,medical supplies equipment,braces,531
grocery gourmet food,pantry staples,cooking baking supplies,519
pet supplies,cats,litter housebreaking,509
pet supplies,dogs,collars,480
health personal care,medical supplies equipment,health monitors,466
toys games,electronics for kids,electronic toys,463
pet supplies,dogs,health supplies,440
health personal care,health care,pain relievers,426
beauty,makeup,nails,413
beauty,skin care,body,407
toys games,action toy figures,playsets,380
health personal care,health care,massage relaxation,376
toys games,electronics for kids,unknown,373
pet supplies,cats,grooming,351
toys games,tricycles,scooters wagons,348
toys games,building toys,building sets,345
baby products,feeding,bottle feeding,345
beauty,bath body,cleansers,343
pet supplies,dogs,treats,333
health personal care,household supplies,household batteries,324
pet supplies,cats,feeding watering supplies,318
pet supplies,cats,health supplies,304
baby products,safety,gates doorways,301
health personal care,household supplies,household cleaning,300
toys games,baby toddler toys,unknown,292
baby products,nursery,furniture,289
health personal care,household supplies,cleaning tools,287
baby products,feeding,breastfeeding,284
beauty,hair care,styling products,282
health personal care,health care,alternative medicine,276
toys games,learning education,science,269
beauty,hair care,hair color,266
beauty,skin care,hands nails,264
baby products,gear,swings,261
health personal care,health care,first aid,247
pet supplies,cats,beds furniture,242
toys games,games,card games,240
baby products,nursery,bedding,232
pet supplies,dogs,training behavior aids,231
grocery gourmet food,beverages,coffee,227
baby products,feeding,highchairs booster seats,223
beauty,hair care,shampoos,221
baby products,safety,monitors,216
health personal care,medical supplies equipment,daily living aids,215
beauty,makeup,eyes,213
pet supplies,dogs,houses,209
pet supplies,dogs,beds furniture,209
health personal care,sexual wellness,adult toys games,209
baby products,car seats accessories,accessories,201
beauty,makeup,face,200
toys games,vehicles remote control,play vehicles,199
pet supplies,cats,toys,198
baby products,bathing skin care,bathing tubs seats,196
baby products,diapering,diaper pails refills,192
baby products,nursery,nursery d cor,190
health personal care,medical supplies equipment,mobility aids equipment,188
beauty,hair care,conditioners,185
baby products,car seats accessories,car seats,177
health personal care,nutrition wellness,weight loss products,175
toys games,novelty gag toys,unknown,175
pet supplies,fish aquatic pets,pumps filters,174
baby products,gear,backpacks carriers,169
toys games,vehicles remote control,play trains railway sets,167
toys games,learning education,unknown,166
pet supplies,dogs,litter housebreaking,164
grocery gourmet food,breakfast foods,breakfast cereal bars,164
health personal care,health care,foot care,162
grocery gourmet food,pantry staples,herbs,161
health personal care,nutrition wellness,sports supplements,158
toys games,arts crafts,craft kits,157
health personal care,personal care,eye care,157
beauty,skin care,sun,155
pet supplies,dogs,grooming,154
baby products,feeding,solid feeding,149
toys games,sports outdoor play,pools water fun,148
beauty,fragrance,unknown,148
baby products,nursery,unknown,147
toys games,vehicles remote control,vehicle playsets,147
health personal care,health care,incontinence,145
toys games,baby toddler toys,music sound,143
beauty,makeup,lips,142
health personal care,sexual wellness,safer sex,141
health personal care,personal care,deodorants antiperspirants,139
health personal care,household supplies,paper plastic,137
pet supplies,dogs,feeding watering supplies,136
baby products,diapering,wipes holders,135
toys games,baby toddler toys,push pull toys,135
toys games,sports outdoor play,gym sets swings,135
toys games,games,unknown,134
pet supplies,dogs,carriers travel products,128
health personal care,baby child care,health care,126
baby products,potty training,potties seats,124
grocery gourmet food,breakfast foods,cereals,123
toys games,puzzles,jigsaw puzzles,119
beauty,bath body,unknown,118
toys games,arts crafts,drawing painting supplies,118
toys games,electronics for kids,systems accessories,117
toys games,hobbies,model building kits tools,116
toys games,dolls accessories,doll accessories,114
health personal care,health care,digestion nausea,113
health personal care,health care,family planning contraceptives,111
toys games,grown up toys,unknown,111
baby products,gear,baby gyms playmats,108
toys games,building toys,stacking blocks,108
baby products,gear,activity centers entertainers,108
toys games,games,trading card games,107
grocery gourmet food,pantry staples,sauces,106
beauty,tools accessories,mirrors,105
health personal care,health care,sleep snoring,104
pet supplies,dogs,apparel accessories,104
health personal care,health care,allergy,102
grocery gourmet food,pantry staples,canned jarred food,102
health personal care,medical supplies equipment,bathroom aids safety,100
grocery gourmet food,herbs,spices seasonings,98
health personal care,household supplies,laundry,98
baby products,pregnancy maternity,maternity pillows,97
grocery gourmet food,snack food,crackers,95
health personal care,personal care,lip care products,95
baby products,diapering,diaper bags,93
baby products,gifts,unknown,92
pet supplies,cats,food,90
health personal care,health care,women s health,90
beauty,hair care,hair loss products,89
toys games,baby toddler toys,bath toys,88
beauty,skin care,unknown,87
toys games,sports outdoor play,sports,87
toys games,dolls accessories,playsets,87
beauty,hair care,hair scalp treatments,86
toys games,baby toddler toys,stacking nesting toys,83
pet supplies,dogs,food,81
grocery gourmet food,fresh flowers live indoor plants,live indoor plants,80
health personal care,health care,pill cases splitters,79
health personal care,medical supplies equipment,beds accessories,78
baby products,gear,playards,77
grocery gourmet food,snack food,popcorn,75
pet supplies,dogs,doors,74
grocery gourmet food,breads bakery,cookies,74
toys games,dolls accessories,dollhouses,70
health personal care,health care,unknown,70
toys games,electronics for kids,electronic pets,70
toys games,puzzles,pegged puzzles,70
beauty,skin care,eyes,69
toys games,learning education,habitats,69
toys games,stuffed animals plush,unknown,69
health personal care,personal care,feminine care,68
baby products,health baby care,teethers,67
baby products,strollers,accessories,66
toys games,baby toddler toys,stuffed animals toys,66
grocery gourmet food,pantry staples,packaged meals side dishes,65
health personal care,health care,cough cold,65
grocery gourmet food,candy chocolate,hard candies,64
health personal care,household supplies,dishwashing,64
beauty,bath body,bathing accessories,64
health personal care,health care,thermometers,64
beauty,tools accessories,nail tools,64
grocery gourmet food,candy chocolate,gummy candies,63
grocery gourmet food,snack food,unknown,63
grocery gourmet food,pantry staples,dried beans,63
toys games,novelty gag toys,gag toys practical jokes,62
pet supplies,cats,educational repellents,62
toys games,sports outdoor play,play tents tunnels,61
grocery gourmet food,beverages,juices,61
toys games,hobbies,radio control,60
toys games,puzzles,floor puzzles,59
beauty,tools accessories,makeup brushes tools,59
beauty,bath body,bath,59
toys games,baby toddler toys,shape sorters,57
baby products,bathing skin care,skin care,56
health personal care,health care,stress reduction,56
baby products,safety,rails rail guards,56
toys games,arts crafts,easels,55
baby products,strollers,tandem,55
health personal care,health care,therapeutic skin care,55
toys games,arts crafts,unknown,55
grocery gourmet food,candy chocolate,chocolate bars,53
pet supplies,cats,treats,52
beauty,hair care,unknown,52
grocery gourmet food,pantry staples,unknown,52
health personal care,household supplies,unknown,52
grocery gourmet food,candy chocolate,unknown,51
health personal care,medical supplies equipment,occupational physical therapy aids,51
health personal care,health care,diabetes,50
beauty,bath body,scrubs body treatments,50
grocery gourmet food,snack food,cookies,49
toys games,puzzles,brain teasers,48
toys games,baby toddler toys,activity play centers,48
grocery gourmet food,beverages,coconut water,48
baby products,bathing skin care,unknown,47
pet supplies,cats,cat flaps,47
grocery gourmet food,sauces dips,sauces,47
grocery gourmet food,breads bakery,fresh baked cookies,47
toys games,baby toddler toys,car seat stroller toys,47
baby products,gear,walkers,46
toys games,action toy figures,accessories,46
toys games,games,battling tops,45
toys games,baby toddler toys,blocks,44
toys games,puzzles,unknown,44
health personal care,household supplies,lighters,44
toys games,hobbies,trains accessories,44
toys games,novelty gag toys,toy balls,44
baby products,bathing skin care,grooming healthcare kits,44
pet supplies,birds,cages accessories,43
baby products,safety,bathroom safety,43
toys games,sports outdoor play,blasters foam play,42
baby products,diapering,unknown,42
toys games,electronics for kids,plug play video games,42
pet supplies,fish aquatic pets,aquarium d cor,42
grocery gourmet food,beverages,hot cocoa,41
grocery gourmet food,snack food,pretzels,41
grocery gourmet food,dairy eggs,milk,41
grocery gourmet food,snack food,chips crisps,41
toys games,grown up toys,hobbies,40
pet supplies,fish aquatic pets,aquariums,40
pet supplies,birds,food,40
health personal care,personal care,unknown,40
toys games,games,dvd games,40
grocery gourmet food,candy chocolate,gummy candy,40
baby products,feeding,pillows stools,39
baby products,strollers,standard,39
pet supplies,cats,carriers strollers,39
toys games,games,standard playing card decks,38
toys games,baby toddler toys,crib toys attachments,38
grocery gourmet food,candy chocolate,suckers lollipops,38
grocery gourmet food,candy chocolate,licorice,38
health personal care,baby child care,personal care,37
toys games,learning education,geography,37
toys games,electronics for kids,music players karaoke,37
baby products,strollers,lightweight,37
grocery gourmet food,snack food,jerky dried meats,36
grocery gourmet food,cooking baking supplies,baking mixes,35
grocery gourmet food,pantry staples,pasta noodles,35
health personal care,personal care,foot care,35
toys games,dolls accessories,dollhouse accessories,35
baby products,strollers,joggers,35
grocery gourmet food,produce,fresh fruits,34
toys games,novelty gag toys,magic kits accessories,34
baby products,diapering,diaper changing kits,33
health personal care,household supplies,air fresheners,33
pet supplies,fish aquatic pets,water treatments,33
baby products,safety,cabinet locks straps,33
toys games,baby toddler toys,rattles,33
toys games,baby toddler toys,balls,33
grocery gourmet food,meat poultry,jerky,32
toys games,hobbies,rockets,32
toys games,baby toddler toys,rocking spring ride ons,31
baby products,strollers,unknown,31
grocery gourmet food,snack food,chips,31
baby products,safety,edge corner guards,31
toys games,electronics for kids,personal video players accessories,31
health personal care,personal care,ear care,31
toys games,grown up toys,novelty gag toys,31
pet supplies,bunny rabbit central,houses habitats,31
beauty,hair care,shampoo conditioner sets,30
grocery gourmet food,pantry staples,condiments,30
pet supplies,birds,feeding watering supplies,30
toys games,stuffed animals plush,puppets,30
baby products,diapering,cloth diapers,30
baby products,diapering,changing table pads covers,30
toys games,building toys,unknown,29
baby products,feeding,food,28
grocery gourmet food,meat seafood,seafood,28
baby products,feeding,pacifiers accessories,27
grocery gourmet food,pantry staples,jams,27
baby products,gear,shopping cart covers,26
toys games,sports outdoor play,unknown,26
baby products,safety,electrical safety,26
toys games,games,tile games,26
pet supplies,birds,toys,25
toys games,sports outdoor play,sand water tables,25
toys games,arts crafts,clay dough,25
toys games,stuffed animals plush,teddy bears,25
pet supplies,fish aquatic pets,food,24
grocery gourmet food,snack food,party mix,24
health personal care,nutrition wellness,unknown,24
grocery gourmet food,candy chocolate,gum,24
beauty,skin care,maternity,24
toys games,arts crafts,drawing sketching tablets,23
toys games,hobbies,scaled model vehicles,23
baby products,gifts,keepsakes,23
health personal care,health care,smoking cessation,23
pet supplies,fish aquatic pets,cleaners,23
toys games,learning education,reading writing,22
toys games,sports outdoor play,sandboxes accessories,22
pet supplies,cats,collars,22
toys games,learning education,basic life skills toys,22
beauty,tools accessories,bags cases,22
beauty,makeup,makeup remover,22
pet supplies,fish aquatic pets,aquarium lights,21
baby products,potty training,step stools,21
health personal care,medical supplies equipment,unknown,21
baby products,potty training,training pants,21
toys games,baby toddler toys,mirrors,21
grocery gourmet food,candy chocolate,mints,21
baby products,bathing skin care,soaps cleansers,21
pet supplies,fish aquatic pets,aquarium heaters,21
grocery gourmet food,beverages,unknown,20
baby products,strollers,travel systems,20
grocery gourmet food,snack food,trail mix,20
grocery gourmet food,gourmet gifts,tea gifts,20
beauty,skin care,sets,20
grocery gourmet food,beverages,powdered drink mixes,19
grocery gourmet food,beverages,soft drinks,19
grocery gourmet food,breads bakery,cakes,19
grocery gourmet food,baby food,baby formula,19
toys games,learning education,mathematics counting,18
baby products,safety,sleep positioners,18
toys games,action toy figures,statues,18
health personal care,sexual wellness,unknown,18
toys games,electronics for kids,cameras camcorders,18
health personal care,medical supplies equipment,tests,18
grocery gourmet food,candy chocolate,bars,18
toys games,games,stacking games,18
toys games,grown up toys,action toy figures,17
beauty,makeup,body,17
grocery gourmet food,beverages,energy drinks,17
beauty,tools accessories,facial steamers,17
baby products,safety,kitchen safety,17
pet supplies,fish aquatic pets,test kits,17
toys games,building toys,marble runs,17
grocery gourmet food,gourmet gifts,snack gifts,17
toys games,sports outdoor play,pogo sticks hoppers,16
beauty,bath body,sets,16
pet supplies,small animals,food,16
baby products,feeding,gift sets,16
grocery gourmet food,gourmet gifts,candy gifts,16
toys games,novelty gag toys,wind up toys,16
baby products,gifts,albums,16
toys games,sports outdoor play,gardening tools,15
grocery gourmet food,beverages,water,15
grocery gourmet food,snack food,fruit leather,15
grocery gourmet food,snack food,puffed snacks,15
grocery gourmet food,candy chocolate,taffy,15
toys games,vehicles remote control,die cast vehicles,15
toys games,dress up pretend play,beauty fashion,14
toys games,learning education,flash cards,14
toys games,stuffed animals plush,plush puppets,14
grocery gourmet food,breakfast foods,toaster pastries,14
pet supplies,fish aquatic pets,health supplies,14
grocery gourmet food,pantry staples,oils,13
pet supplies,bunny rabbit central,food,13
toys games,sports outdoor play,inflatable bouncers,13
toys games,novelty gag toys,money banks,13
baby products,safety,harnesses leashes,13
baby products,feeding,unknown,13
grocery gourmet food,candy chocolate,jelly beans,13
toys games,games,dice gaming dice,12
health personal care,health care,stimulants,12
health personal care,personal care,body art,12
toys games,sports outdoor play,ball pits accessories,12
toys games,puzzles,d puzzles,12
toys games,sports outdoor play,marble games,12
grocery gourmet food,cooking baking supplies,nuts seeds,12
baby products,gifts,toy banks,11
grocery gourmet food,candy chocolate,chocolate truffles,11
grocery gourmet food,cooking baking supplies,chocolate,11
grocery gourmet food,produce,fresh vegetables,11
toys games,grown up toys,puzzles,10
beauty,hair care,shampoo plus conditioner,10
beauty,tools accessories,unknown,10
baby products,safety,unknown,10
pet supplies,small animals,houses habitats,10
grocery gourmet food,cooking baking supplies,sugars sweeteners,10
toys games,games,game room games,9
grocery gourmet food,candy chocolate,chewing gum,9
pet supplies,bunny rabbit central,rabbit hutches,9
health personal care,sexual wellness,bondage gear accessories,9
toys games,games,floor games,9
toys games,games,game accessories,9
beauty,tools accessories,hair coloring tools,9
health personal care,baby child care,unknown,9
pet supplies,birds,health supplies,9
beauty,tools accessories,cotton swabs,9
grocery gourmet food,candy chocolate,chocolate assortments,8
toys games,stuffed animals plush,plush backpacks purses,8
baby products,diapering,portable changing pads,8
baby products,diapering,diaper stackers caddies,8
grocery gourmet food,fresh flowers live indoor plants,fresh cut flowers,8
pet supplies,fish aquatic pets,automatic feeders,8
health personal care,sexual wellness,sensual delights,8
grocery gourmet food,baby food,crackers biscuits,8
beauty,hair care,hair perms texturizers,8
pet supplies,fish aquatic pets,aquarium starter kits,7
grocery gourmet food,breads bakery,breads,7
beauty,hair care,hair relaxers,7
pet supplies,fish aquatic pets,aquarium hoods,7
toys games,novelty gag toys,viewfinders,6
grocery gourmet food,dairy eggs,ice cream frozen desserts,6
grocery gourmet food,snack food,rice cakes,6
baby products,health baby care,sun protection,6
baby products,gear,baby seats,6
toys games,sports outdoor play,kites wind spinners,6
toys games,puzzles,puzzle accessories,6
grocery gourmet food,candy chocolate,fudge,6
toys games,arts crafts,blackboards whiteboards,6
toys games,arts crafts,stickers,6
grocery gourmet food,candy chocolate,caramels,6
toys games,electronics for kids,walkie talkies,6
grocery gourmet food,sauces dips,dips,6
grocery gourmet food,snack food,granola trail mix bars,6
grocery gourmet food,cooking baking supplies,sugar substitutes,6
grocery gourmet food,baby food,cereal,6
toys games,electronics for kids,dance mats,6
grocery gourmet food,gourmet gifts,chocolate gifts,6
grocery gourmet food,gourmet gifts,seafood gifts,6
grocery gourmet food,gourmet gifts,sauces gifts,6
pet supplies,bunny rabbit central,carriers,6
health personal care,sexual wellness,novelties,6
toys games,novelty gag toys,prisms kaleidoscopes,6
toys games,sports outdoor play,beanbags foot bags,5
baby products,bathing skin care,washcloths towels,5
grocery gourmet food,dairy eggs,cheese,5
grocery gourmet food,meat seafood,unknown,5
toys games,baby toddler toys,hammering pounding toys,5
